method,ate,se,ci_lower,ci_upper,n_treated,n_control,ground_truth_ate,bias,abs_bias,relative_bias,covers_truth,study,pattern,beta,seed,dataset_path,ground_truth_se,n_obs,propensity_mean,propensity_std,propensity_min,propensity_max,n_used,r_squared,n_matched,match_rate,caliper_used,error
psm,2698.7149659863944,36.75480321977553,2626.6755516756343,2770.7543802971545,1470.0,1331.0,2494.929066733021,203.78589925337337,203.78589925337337,0.0816800373087241,False,anchoring4,demo_basic,1.0,42,confounded_datasets/anchoring4/demo_basic_beta1.0_seed42.csv,27.510776742010567,2801,,,,,,,1470.0,1.0,0.048330301012424595,
naive,2531.2677048963296,38.601009442463805,2455.6097263891006,2606.9256834035587,1470.0,1336.0,2494.929066733021,36.33863816330859,36.33863816330859,0.014564998519533917,True,anchoring4,demo_basic,1.5,42,confounded_datasets/anchoring4/demo_basic_beta1.5_seed42.csv,27.510776742010567,2806,,,,,,,,,,
ipw,2537.171001419644,74.50778928751971,2391.1357344161056,2683.206268423183,,,2494.929066733021,42.24193468662315,42.24193468662315,0.016931116499410846,True,anchoring4,demo_basic,1.5,42,confounded_datasets/anchoring4/demo_basic_beta1.5_seed42.csv,27.510776742010567,2806,0.5236335586476333,0.29763272332149504,0.02733281889810506,0.99,2806.0,,,,,
outcome_regression,2607.6721701190872,45.66964280452798,2518.1596702222123,2697.184670015962,,,2494.929066733021,112.7431033860662,112.7431033860662,0.04518890131561832,False,anchoring4,demo_basic,1.5,42,confounded_datasets/anchoring4/demo_basic_beta1.5_seed42.csv,27.510776742010567,2806,,,,,2806.0,0.606790239495512,,,,
aipw,2542.8679701723486,82.25444898309199,2381.6492501654884,2704.0866901792087,,,2494.929066733021,47.93890343932753,47.93890343932753,0.01921453562689901,True,anchoring4,demo_basic,1.5,42,confounded_datasets/anchoring4/demo_basic_beta1.5_seed42.csv,27.510776742010567,2806,0.5236335586476333,0.29763272332149504,,,2806.0,,,,,
psm,2666.776870748299,35.550119383668246,2597.0986367563096,2736.455104740289,1470.0,1336.0,2494.929066733021,171.84780401527814,171.84780401527814,0.06887883359357541,False,anchoring4,demo_basic,1.5,42,confounded_datasets/anchoring4/demo_basic_beta1.5_seed42.csv,27.510776742010567,2806,,,,,,,1470.0,1.0,0.05957783241368484,
naive,2532.0719687658384,38.58720666031322,2456.4410437116244,2607.7028938200524,1491.0,1326.0,2494.929066733021,37.14290203281735,37.14290203281735,0.014887357932566007,True,anchoring4,demo_basic,2.0,42,confounded_datasets/anchoring4/demo_basic_beta2.0_seed42.csv,27.510776742010567,2817,,,,,,,,,,
ipw,2507.687900046199,65.15350494624609,2379.9870303515568,2635.3887697408413,,,2494.929066733021,12.758833313178002,12.758833313178002,0.005113906236174091,True,anchoring4,demo_basic,2.0,42,confounded_datasets/anchoring4/demo_basic_beta2.0_seed42.csv,27.510776742010567,2817,0.528741804507935,0.32179755364269513,0.01,0.99,2817.0,,,,,
outcome_regression,2623.3198556315547,38.80996446794274,2547.2523252743867,2699.3873859887226,,,2494.929066733021,128.39078889853363,128.39078889853363,0.05146069706368632,False,anchoring4,demo_basic,2.0,42,confounded_datasets/anchoring4/demo_basic_beta2.0_seed42.csv,27.510776742010567,2817,,,,,2817.0,0.6064962972890373,,,,
aipw,2481.8335329975225,67.40259806700053,2349.7244407862013,2613.9426252088438,,,2494.929066733021,-13.09553373549852,13.09553373549852,-0.005248860142002528,True,anchoring4,demo_basic,2.0,42,confounded_datasets/anchoring4/demo_basic_beta2.0_seed42.csv,27.510776742010567,2817,0.528741804507935,0.32179755364269513,,,2817.0,,,,,
